contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,type,mid,pull_date,spread,spread_mid_ratio,S0,dividend_yield
SPY260706C00625000,2026-07-02 14:39:40+00:00,625.0,123.71,117.82,121.34,1.7699966,1.4515308,30.0,31,1.1821329956054685,True,REGULAR,USD,2026-07-06,call,119.58,2026-07-04,3.52,0.0294363606,744.7800293,0.01010365437
SPY260706C00660000,2026-06-29 13:34:02+00:00,660.0,87.6,82.83,86.35,8.729996,11.068842,6.0,26,0.8781750463867187,True,REGULAR,USD,2026-07-06,call,84.59,2026-07-04,3.52,0.04161248375,744.7800293,0.01010365437
SPY260706C00670000,2026-07-01 14:37:02+00:00,670.0,75.09,72.83,76.35,-1.9100037,-2.4805243,2.0,12,0.79101771484375,True,REGULAR,USD,2026-07-06,call,74.59,2026-07-04,3.52,0.04719131251,744.7800293,0.01010365437
SPY260706C00700000,2026-07-02 19:57:25+00:00,700.0,45.14,42.84,46.36,-1.7299995,-3.6910594,122.0,5,0.5271043383789062,True,REGULAR,USD,2026-07-06,call,44.6,2026-07-04,3.52,0.07892376682,744.7800293,0.01010365437
SPY260706C00703000,2026-06-30 19:18:29+00:00,703.0,45.68,39.84,43.36,0.0,0.0,8.0,8,0.500005,True,REGULAR,USD,2026-07-06,call,41.6,2026-07-04,3.52,0.08461538462,744.7800293,0.01010365437
SPY260706C00705000,2026-07-02 17:18:15+00:00,705.0,36.97,37.85,41.36,2.6500015,7.7214494,1.0,16,0.4819387744140625,True,REGULAR,USD,2026-07-06,call,39.605000000000004,2026-07-04,3.51,0.08862517359,744.7800293,0.01010365437
SPY260706C00706000,2026-06-29 17:54:49+00:00,706.0,35.34,36.89,40.36,0.0,0.0,29.0,31,0.4726615234375,True,REGULAR,USD,2026-07-06,call,38.625,2026-07-04,3.47,0.0898381877,744.7800293,0.01010365437
SPY260706C00709000,2026-07-02 19:55:51+00:00,709.0,35.64,33.85,37.36,8.83,32.935474,2.0,4,0.4451959777832031,True,REGULAR,USD,2026-07-06,call,35.605000000000004,2026-07-04,3.51,0.09858165988,744.7800293,0.01010365437
SPY260706C00710000,2026-07-02 19:55:50+00:00,710.0,34.66,32.85,36.36,4.67,15.571858,11.0,23,0.4359187268066406,True,REGULAR,USD,2026-07-06,call,34.605000000000004,2026-07-04,3.51,0.1014304291,744.7800293,0.01010365437
SPY260706C00711000,2026-07-02 19:54:19+00:00,711.0,33.17,31.85,35.37,-3.9900017,-10.737356,2.0,7,0.4274959594726563,True,REGULAR,USD,2026-07-06,call,33.61,2026-07-04,3.52,0.1047307349,744.7800293,0.01010365437
SPY260706C00712000,2026-07-02 19:55:49+00:00,712.0,32.64,30.85,34.37,-1.0400009,-3.0878887,4.0,5,0.4182187084960937,True,REGULAR,USD,2026-07-06,call,32.61,2026-07-04,3.52,0.107942349,744.7800293,0.01010365437
SPY260706C00713000,2026-06-25 18:15:02+00:00,713.0,23.68,29.85,33.37,0.0,0.0,,36,0.40881938842773435,True,REGULAR,USD,2026-07-06,call,31.61,2026-07-04,3.52,0.1113571655,744.7800293,0.01010365437
SPY260706C00714000,2026-07-02 19:54:46+00:00,714.0,30.63,28.85,32.37,1.3599987,4.646391,6.0,3,0.39942006835937505,True,REGULAR,USD,2026-07-06,call,30.61,2026-07-04,3.52,0.1149950996,744.7800293,0.01010365437
SPY260706C00715000,2026-07-02 19:54:18+00:00,715.0,29.17,27.85,31.37,-2.9499989,-9.184305,7.0,21,0.39002074829101563,True,REGULAR,USD,2026-07-06,call,29.61,2026-07-04,3.52,0.1188787572,744.7800293,0.01010365437
SPY260706C00717000,2026-07-02 19:54:17+00:00,717.0,27.39,25.86,29.37,-4.550001,-14.245464,7.0,32,0.3711000390625,True,REGULAR,USD,2026-07-06,call,27.615000000000002,2026-07-04,3.51,0.1271048343,744.7800293,0.01010365437
SPY260706C00720000,2026-07-02 19:54:44+00:00,720.0,24.45,23.78,25.78,-3.9899998,-14.029534,105.0,139,0.29834686035156244,True,REGULAR,USD,2026-07-06,call,24.78,2026-07-04,2,0.0807102502,744.7800293,0.01010365437
SPY260706C00721000,2026-07-02 19:55:46+00:00,721.0,23.66,21.87,25.38,-2.83,-10.683276,14.0,47,0.3332586206054688,True,REGULAR,USD,2026-07-06,call,23.625,2026-07-04,3.51,0.1485714286,744.7800293,0.01010365437
SPY260706C00722000,2026-07-02 19:54:16+00:00,722.0,22.19,20.87,24.39,-5.289999,-19.25036,9.0,88,0.3242255078124999,True,REGULAR,USD,2026-07-06,call,22.630000000000003,2026-07-04,3.52,0.1555457357,744.7800293,0.01010365437
SPY260706C00723000,2026-07-02 19:55:51+00:00,723.0,21.68,19.87,22.9,-2.4300003,-10.078807,19.0,95,0.2805247729492187,True,REGULAR,USD,2026-07-06,call,21.384999999999998,2026-07-04,3.03,0.1416880991,744.7800293,0.01010365437
SPY260706C00724000,2026-07-02 19:55:51+00:00,724.0,20.65,19.55,21.32,-2.960001,-12.5370655,13.0,34,0.2224198852539062,True,REGULAR,USD,2026-07-06,call,20.435000000000002,2026-07-04,1.77,0.08661609983,744.7800293,0.01010365437
SPY260706C00725000,2026-07-02 19:54:14+00:00,725.0,19.4,18.95,20.33,-3.210001,-14.197262,130.0,87,0.21509573974609375,True,REGULAR,USD,2026-07-06,call,19.64,2026-07-04,1.38,0.07026476578,744.7800293,0.01010365437
SPY260706C00726000,2026-07-02 19:54:43+00:00,726.0,18.4,17.96,19.34,-2.040001,-9.980435,12.0,92,0.20777159423828123,True,REGULAR,USD,2026-07-06,call,18.65,2026-07-04,1.38,0.07399463807,744.7800293,0.01010365437
SPY260706C00727000,2026-07-02 20:01:57+00:00,727.0,17.48,16.98,17.83,-3.1100006,-15.104422,156.0,215,0.12500875,True,REGULAR,USD,2026-07-06,call,17.405,2026-07-04,0.85,0.04883654122,744.7800293,0.01010365437
SPY260706C00728000,2026-07-02 20:11:58+00:00,728.0,16.41,15.44,17.35,-3.0,-15.455951,49.0,250,0.19178054321289065,True,REGULAR,USD,2026-07-06,call,16.395,2026-07-04,1.91,0.1164989326,744.7800293,0.01010365437
