target_source,method,parameter,value
yfinance IV,GP,v0,0.0330381532489696
yfinance IV,FFT,v0,0.0360199055283832
own IV,GP,v0,0.0274267560774062
own IV,FFT,v0,0.0218293008256489
yfinance IV,GP,kappa,4.998386022881946
yfinance IV,FFT,kappa,2.6509613111613657
own IV,GP,kappa,1.2780702425272703
own IV,FFT,kappa,2.3550045638746653
yfinance IV,GP,theta,0.1170819504045021
yfinance IV,FFT,theta,0.0101229951136501
own IV,GP,theta,0.2375397622957753
own IV,FFT,theta,0.0101229951136501
yfinance IV,GP,sigma_v,0.9993863554271026
yfinance IV,FFT,sigma_v,0.9993863554271026
own IV,GP,sigma_v,0.9993863554271026
own IV,FFT,sigma_v,0.9993863554271026
yfinance IV,GP,rho,-0.9495768662885722
yfinance IV,FFT,rho,-0.9495768662885722
own IV,GP,rho,-0.9495768662885722
own IV,FFT,rho,-0.9495768662885722
